year,month,rank,net_worth,full_name,year of birth,age,gender,country_of_citizenship,country_of_residence,city_of_residence,business_category,self_made,wealth_status
2024,4,1,233.0 B,Bernard Arnault & family,1949,75,Male,France,France,Paris,Fashion & Retail,FALSE,Increased
2024,4,2,195.0 B,Elon Musk,1971,52,Male,United States,United States,Austin,Automotive,TRUE,Increased
2024,4,3,194.0 B,Jeff Bezos,1964,60,Male,United States,United States,Miami,Technology,TRUE,Increased
2024,4,4,177.0 B,Mark Zuckerberg,1984,39,Male,United States,United States,Palo Alto,Technology,TRUE,Increased
2024,4,5,141.0 B,Larry Ellison,1944,79,Male,United States,United States,Woodside,Technology,TRUE,Increased
2024,4,6,133.0 B,Warren Buffett,1930,93,Male,United States,United States,Omaha,Finance & Investments,TRUE,Increased
2024,4,7,128.0 B,Bill Gates,1955,68,Male,United States,United States,Medina,Technology,TRUE,Increased
2024,4,8,121.0 B,Steve Ballmer,1956,68,Male,United States,United States,Hunts Point,Technology,TRUE,Increased
2024,4,9,116.0 B,Mukesh Ambani,1957,66,Male,India,India,Mumbai,Diversified,FALSE,Increased
2024,4,10,114.0 B,Larry Page,1973,51,Male,United States,United States,Palo Alto,Technology,TRUE,Increased
2024,4,11,110.0 B,Sergey Brin,1973,50,Male,United States,United States,Los Altos,Technology,TRUE,Increased
2024,4,12,106.0 B,Michael Bloomberg,1942,82,Male,United States,United States,New York,Finance & Investments,TRUE,Increased
2024,4,13,103.0 B,Amancio Ortega,1936,88,Male,Spain,Spain,La Coruna,Fashion & Retail,TRUE,Increased
2024,4,14,102.0 B,Carlos Slim Helu & family,1940,84,Male,Mexico,Mexico,Mexico City,Telecom,TRUE,Increased
2024,4,15,99.5 B,Francoise Bettencourt Meyers & family,1953,70,Female,France,France,Paris,Fashion & Retail,FALSE,Increased
2024,4,16,91.0 B,Michael Dell,1965,59,Male,United States,United States,Austin,Technology,TRUE,Increased
2024,4,17,84.0 B,Gautam Adani,1962,61,Male,India,India,Ahmedabad,Diversified,TRUE,Increased
2024,4,18,78.4 B,Jim Walton & family,1948,75,Male,United States,United States,Bentonville,Fashion & Retail,FALSE,Increased
2024,4,19,77.4 B,Rob Walton & family,1944,79,Male,United States,United States,Bentonville,Fashion & Retail,FALSE,Increased
2024,4,20,77.0 B,Jensen Huang,1963,61,Male,United States,United States,Los Altos,Technology,TRUE,Increased
2024,4,21,72.3 B,Alice Walton,1949,74,Female,United States,United States,Fort Worth,Fashion & Retail,FALSE,Increased
2024,4,22,67.8 B,David Thomson & family,1957,66,Male,Canada,Canada,Toronto,Media & Entertainment,FALSE,Increased
2024,4,23,64.3 B,Julia Koch & family,1962,61,Female,United States,United States,New York,Diversified,FALSE,Increased
2024,4,24,62.3 B,Zhong Shanshan,1954,69,Male,China,China,Hangzhou,Food & Beverage,TRUE,Decreased
2024,4,25,58.5 B,Charles Koch & family,1935,88,Male,United States,United States,Wichita,Diversified,FALSE,Decreased
2024,4,26,43.8 B,Giovanni Ferrero,1964,59,Male,Italy,Belgium,Brussels,Food & Beverage,FALSE,Increased
2024,4,27,43.4 B,Prajogo Pangestu,1944,79,Male,Indonesia,Indonesia,Jakarta,Diversified,FALSE,Increased
2024,4,27,43.4 B,Zhang Yiming,1984,40,Male,China,Singapore,Singapore,Technology,TRUE,Decreased
2024,4,29,42.8 B,Tadashi Yanai & family,1949,75,Male,Japan,Japan,Tokyo,Fashion & Retail,TRUE,Increased
2024,4,30,40.9 B,Phil Knight & family,1938,86,Male,United States,United States,Hillsboro,Fashion & Retail,TRUE,Decreased
2024,4,31,39.6 B,Mark Mateschitz,1992,31,Male,Austria,Austria,Salzburg,Food & Beverage,FALSE,Increased
2024,4,32,39.2 B,Klaus-Michael Kuehne,1937,86,Male,Germany,Switzerland,Schindellegi,Logistics,FALSE,Increased
2024,4,33,38.9 B,Colin Huang,1980,44,Male,China,China,Shanghai,Technology,TRUE,Increased
2024,4,34,38.8 B,Stephen Schwarzman,1947,77,Male,United States,United States,New York,Finance & Investments,TRUE,Increased
2024,4,35,38.5 B,Jacqueline Mars,1939,84,Female,United States,United States,The Plains,Food & Beverage,FALSE,Increased
2024,4,35,38.5 B,John Mars,1935,88,Male,United States,United States,Jackson,Food & Beverage,FALSE,Increased
2024,4,37,38.0 B,Dieter Schwarz,1939,84,Male,Germany,Germany,Neckarsulm,Fashion & Retail,FALSE,Decreased
2024,4,38,37.3 B,Li Ka-shing,1928,95,Male,Hong Kong,Hong Kong,Hong Kong,Diversified,TRUE,Decreased
2024,4,39,36.9 B,Shiv Nadar,1945,78,Male,India,India,Delhi,Technology,TRUE,Increased
2024,4,40,36.8 B,Alain Wertheimer,1948,75,Male,France,United States,New York,Fashion & Retail,FALSE,Increased
2024,4,40,36.8 B,Gerard Wertheimer,1951,73,Male,France,United States,New York,Fashion & Retail,FALSE,Increased
2024,4,42,36.4 B,Ken Griffin,1968,55,Male,United States,United States,Miami,Finance & Investments,TRUE,Increased
2024,4,43,35.6 B,MacKenzie Scott,1970,53,Female,United States,United States,Seattle,Technology,FALSE,Increased
2024,4,44,34.0 B,Thomas Peterffy,1944,79,Male,United States,United States,Palm Beach,Finance & Investments,TRUE,Increased
2024,4,45,33.6 B,Reinhold Wuerth & family,1935,88,Male,Germany,Germany,Kuenzelsau,Manufacturing,TRUE,Increased
2024,4,46,33.5 B,William Ding,1971,52,Male,China,China,Hangzhou,Technology,TRUE,Increased
2024,4,46,33.5 B,Savitri Jindal & family,1950,74,Female,India,India,Hisar,Metals & Mining,FALSE,Increased
2024,4,48,33.1 B,Gianluigi Aponte,1940,83,Male,Switzerland,Switzerland,Geneva,Logistics,TRUE,Increased
2024,4,48,33.1 B,Rafaela Aponte-Diamant,1945,79,Female,Switzerland,Switzerland,Geneva,Logistics,TRUE,Increased
2024,4,50,33.0 B,Changpeng Zhao,1977,47,Male,Canada,United Arab Emirates,Dubai,Finance & Investments,TRUE,Increased
2024,4,51,32.7 B,Masayoshi Son,1957,66,Male,Japan,Japan,Tokyo,Finance & Investments,TRUE,Increased
2024,4,52,32.1 B,Len Blavatnik,1957,66,Male,United States,United Kingdom,London,Diversified,TRUE,Remained Even
2024,4,53,32.0 B,Miriam Adelson & family,1945,78,Female,United States,United States,Las Vegas,Gambling & Casinos,FALSE,Decreased
2024,4,54,31.6 B,François Pinault & family,1936,87,Male,France,France,Paris,Fashion & Retail,TRUE,Decreased
2024,4,55,31.4 B,Jim Simons,1938,85,Male,United States,United States,East Setauket,Finance & Investments,TRUE,Increased
2024,4,56,30.8 B,Gina Rinehart,1954,70,Female,Australia,Australia,Perth,Metals & Mining,FALSE,Increased
2024,4,57,30.2 B,Ma Huateng,1971,52,Male,China,China,Shenzhen,Technology,TRUE,Decreased
2024,4,58,29.0 B,Abigail Johnson,1961,62,Female,United States,United States,Milton,Finance & Investments,FALSE,Increased
2024,4,59,28.6 B,Vagit Alekperov,1950,73,Male,Russia,Russia,Moscow,Energy,TRUE,Increased
2024,4,60,28.0 B,Eduardo Saverin,1982,42,Male,Brazil,Singapore,Singapore,Technology,TRUE,Increased
2024,4,60,28.0 B,Lukas Walton,1986,37,Male,United States,United States,Chicago,Fashion & Retail,FALSE,Increased
2024,4,62,27.9 B,Germán Larrea Mota Velasco & family,1953,70,Male,Mexico,Mexico,Mexico City,Metals & Mining,FALSE,Increased
2024,4,63,27.7 B,Lee Shau Kee,1928,96,Male,Hong Kong,Hong Kong,Hong Kong,Real Estate,TRUE,Decreased
2024,4,64,27.6 B,Jeff Yass,1958,65,Male,United States,United States,Haverford,Finance & Investments,TRUE,Decreased
2024,4,66,27.4 B,Low Tuck Kwong,1948,75,Male,Indonesia,Indonesia,Jakarta,Energy,TRUE,Increased
2024,4,66,27.4 B,Leonid Mikhelson & family,1955,68,Male,Russia,Russia,Moscow,Energy,TRUE,Increased
2024,4,68,27.3 B,Stefan Quandt,1966,57,Male,Germany,Germany,Frankfurt,Automotive,FALSE,Increased
2024,4,69,26.7 B,Dilip Shanghvi,1955,68,Male,India,India,Mumbai,Healthcare,TRUE,Increased
2024,4,70,26.6 B,Vladimir Lisin,1956,67,Male,Russia,Russia,Moscow,Metals & Mining,TRUE,Increased
2024,4,71,26.5 B,R. Budi Hartono,1941,83,Male,Indonesia,Indonesia,Kudus,Finance & Investments,FALSE,Increased
2024,4,71,26.5 B,Susanne Klatten,1962,61,Female,Germany,Germany,Bad Homburg,Automotive,FALSE,Decreased
2024,4,73,26.2 B,"Thomas Frist, Jr. & family",1938,85,Male,United States,United States,Nashville,Healthcare,TRUE,Increased
2024,4,73,26.2 B,Daniel Gilbert,1962,62,Male,United States,United States,Franklin,Finance & Investments,TRUE,Increased
2024,4,75,25.7 B,Iris Fontbona & family,1943,81,Female,Chile,Chile,Santiago,Metals & Mining,FALSE,Increased
2024,4,76,25.5 B,Emmanuel Besnier,1970,53,Male,France,France,Laval,Food & Beverage,FALSE,Increased
2024,4,76,25.5 B,Michael Hartono,1939,84,Male,Indonesia,Indonesia,Kudus,Manufacturing,FALSE,Increased
2024,4,76,25.5 B,Alexey Mordashov & family,1965,58,Male,Russia,Russia,Moscow,Metals & Mining,TRUE,Increased
